id,average_draft_position,first_name,last_name,injury_status,years_experience,headshot_url
3117256,127.5,Dalton,Schultz,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3117256.png
4426385,128.0,Zach,Charbonnet,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4426385.png
4038815,128.5,Rico,Dowdle,questionable,5,https://a.espncdn.com/i/headshots/nfl/players/full/4038815.png
4361411,129.0,Pat,Freiermuth,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4361411.png
4242433,131.0,Joshua,Palmer,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4242433.png
4258595,134.5,Cole,Kmet,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4258595.png
4242431,135.5,Ty,Chandler,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4242431.png
2577327,137.0,Tyler,Lockett,,10,https://a.espncdn.com/i/headshots/nfl/players/full/2577327.png
14880,137.5,Kirk,Cousins,,13,https://a.espncdn.com/i/headshots/nfl/players/full/14880.png
3916433,137.5,Jakobi,Meyers,,6,https://a.espncdn.com/i/headshots/nfl/players/full/3916433.png
4241463,138.5,Jerry,Jeudy,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4241463.png
8439,139.0,Aaron,Rodgers,questionable,20,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
4682745,140.0,Jaylen,Wright,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4682745.png
4373626,144.0,Tyler,Allgeier,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4373626.png
3045138,144.0,Mike,Williams,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3045138.png
4722893,147.0,Jaleel,McLaughlin,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4722893.png
4597500,147.5,Adonai,Mitchell,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4597500.png
12483,150.0,Matthew,Stafford,,16,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
4243537,151.5,Gabe,Davis,questionable,5,https://a.espncdn.com/i/headshots/nfl/players/full/4243537.png
2468609,154.0,Taysom,Hill,,8,https://a.espncdn.com/i/headshots/nfl/players/full/2468609.png
4429023,155.0,MarShawn,Lloyd,injured_reserve,0,https://a.espncdn.com/i/headshots/nfl/players/full/4429023.png
4360294,155.5,Antonio,Gibson,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4360294.png
4032473,156.5,Rashid,Shaheed,injured_reserve,3,https://a.espncdn.com/i/headshots/nfl/players/full/4032473.png
16731,157.5,Brandin,Cooks,injured_reserve,11,https://a.espncdn.com/i/headshots/nfl/players/full/16731.png
4428850,158.0,Dontayvion,Wicks,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4428850.png
